Name, Birthyear, Birthplace, Deathyear, Deathcause, Award, Height, Religion
Vishwa Gopal Jhingran, 1919, NA, 1991, NA, 2, NA, NA
Vitaly Shafranov, 1929, NA, 2014, NA, 3, NA, NA
Vitaly Tulenev, 1937, NA, 1998, NA, 18, NA, NA
Vito R. Bertoldo, 1916, NA, 1966, NA, 14, NA, NA
Vitovt Putna, 1893, NA, 1937, NA, 23, NA, NA
Vittorio Gassman, 1922, Italy, 2000, NA, 2, NA, NA
Vivian Hollowday, 1916, NA, 1977, NA, 12, NA, NA
Vivian Loyd, 1894, NA, 1972, NA, 14, NA, NA
Vivian Majendie, 1886, NA, 1960, NA, 2, NA, NA
Vivian Street (British Army officer), 1912, NA, 1970, NA, 4, NA, NA
Vladimir Abazarov, 1930, Russia, 2003, NA, 2, NA, NA
Vladimir Aleksenko, 1923, NA, 1995, NA, 4, NA, NA
Vladimir Alexeyev, 1912, NA, 1999, NA, 10, NA, NA
Vladimir Chekalov, 1922, NA, 1992, NA, 2, NA, NA
Vladimir Govyrin, 1924, NA, 1994, NA, 4, NA, NA
Vladimir Kappel, 1883, NA, 1920, NA, 4, NA, NA
Vladimir Karpov, 1922, NA, 2010, NA, 4, NA, NA
Vladimir Malevsky, 1925, NA, 1981, NA, 71, NA, NA
Vladimir Miklyukov, 1944, NA, 2013, NA, 25, NA, NA
Vladimir Nak, 1935, NA, 2010, NA, 2, NA, NA
Vladimir Peniakoff, 1897, NA, 1951, NA, 3, NA, NA
Vladimir Popovkin, 1957, NA, 2014, NA, 2, NA, NA
Vladimir Stavsky, 1900, NA, 1943, NA, 2, NA, NA
Vladimir Strzhizhevsky, 1894, NA, 1940, NA, 5, NA, NA
Vladimir Teplyakov, 1925, Russia, 2009, NA, 8, NA, NA
Vladimir Vazov, 1868, NA, 1945, NA, 5, NA, NA
Vladislav Achalov, 1945, NA, 2011, NA, 4, NA, NA
Vladislav Strzhelchik, 1921, NA, 1995, NA, 27, NA, NA
Vojislav Tankosić, 1880, NA, 1915, NA, 25, NA, NA
Vojo Kushi, 1918, NA, 1942, NA, 2, NA, NA
Voldemārs Reinholds, 1903, Russia, 1986, NA, 3, NA, NA
Volkhard Eitner, 1914, Germany, 1996, NA, 32, NA, NA
Vollrath Lübbe, 1894, Germany, 1969, NA, 32, NA, NA
Vollrath von Hellermann, 1900, Germany, 1971, NA, 32, NA, NA
Volodymyr Nemoshkalenko, 1933, NA, 2002, NA, 7, NA, NA
Volodymyr Sosiura, 1898, NA, 1965, NA, 2, NA, NA
Volodymyr Yurchyshyn, 1935, Poland, 2010, NA, 25, NA, NA
Volprecht Riedesel Freiherr zu Eisenbach, 1912, Germany, 1945, NA, 32, NA, NA
Voltaire P. Twombly, 1842, NA, 1918, NA, 14, NA, NA
Voris (designer), 1908, NA, 1973, NA, 27, NA, NA
Vsevolod Bazhenov, 1909, NA, 1986, NA, 71, NA, NA
Vsevolod Bessonov, 1932, Russia, 1970, NA, 23, NA, NA
Vsevolod Kochetov, 1912, NA, 1973, NA, 14, NA, NA
Vsevolod Sanayev, 1912, NA, 1996, NA, 27, NA, NA
Vyacheslav Alexandrovich Alexandrov, 1968, NA, 1988, NA, 32, NA, NA
Vyacheslav Oltarzhevsky, 1880, NA, 1966, NA, 16, NA, NA
Vyell Vyvyan, 1875, NA, 1935, NA, 39, NA, NA
Vyvyan Evelegh, 1898, NA, 1958, NA, 4, NA, NA
Vyvyan Pope, 1891, NA, 1941, NA, 4, NA, NA
Víctor Rosales, 1776, Mexico, 1817, NA, 21, NA, NA
Çerçiz Topulli, 1880, Albania, 1915, NA, 15, NA, NA
Ed Freeman, 1927, NA, 2008, NA, 14, NA, NA
Ed Furness, 1911, NA, 2005, NA, 17, NA, NA
Ed Sabol, 1916, NA, 2015, NA, 8, NA, NA
Eddie Myers, 1906, NA, 1997, NA, 2, NA, NA
Eddy Blondeel, 1906, Belgium, 2000, NA, 8, NA, NA
Edel-Heinrich Zachariae-Lingenthal, 1916, Germany, 1998, NA, 32, NA, NA
Edgar A. Bras, 1841, NA, 1923, NA, 14, NA, NA
Edgar Angeli, 1892, NA, 1945, NA, 35, NA, NA
Edgar C. Erickson, 1896, NA, 1989, NA, 3, NA, NA
Edgar Culbertson, 1935, NA, 1967, NA, 6, NA, NA
Edgar Feuchtinger, 1894, NA, 1960, NA, 2, NA, NA
